,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.5863033979575242,0.5863033979575242,23485949.872913163,"[None, None]","[None, None]",0.0056575104837576695,"[None, None]",23485949.872913163,0.5863033979575242
ZAMS,1.0,1.0,16291706.71779572,"[None, None]","[None, None]",0.003924495370763637,"[None, None]",23485949.872913163,0.5863033979575242
ZAMS_StellarMergerBeforeMT,0.031947197694037435,0.031947197694037435,520474.37528669764,"[None, None]","[None, None]",0.00012537662945912066,"[None, None]",23485949.872913163,0.5863033979575242
ZAMS_MT1,0.4776770288934862,0.4776770288934862,7782174.060560709,"[None, None]","[None, None]",0.0018746412886126145,"[None, None]",23485949.872913163,0.5863033979575242
MT1_StellarMerger1,0.10735246463458649,0.22473859562236612,1748954.86925922,"[None, None]","[None, None]",0.0004213042504985017,"[None, None]",23485949.872913163,0.5863033979575242
ZAMS_SN1,0.49037577341247635,0.49037577341247635,7989058.281948313,"[None, None]","[None, None]",0.0019244774526919017,"[None, None]",23485949.872913163,0.5863033979575242
MT1_SN1,0.37493506678441524,0.7849133286834677,6108332.146268845,"[None, None]","[None, None]",0.0014714309339323927,"[None, None]",23485949.872913163,0.5863033979575242
SN1_Disbound1,0.6791983919742532,0.7849183905054391,11065301.005242992,"[None, None]","[None, None]",0.002665510945133063,"[None, None]",23485949.872913163,0.5863033979575242
SN1_Survive1,0.18150195729843424,0.20975347686287574,2956976.657011973,"[None, None]","[None, None]",0.0007123035912022446,"[None, None]",23485949.872913163,0.5863033979575242
SN1_MT2,0.09520987829498664,0.1100296839842232,1551131.4138189468,"[None, None]","[None, None]",0.00037365072661964434,"[None, None]",23485949.872913163,0.5863033979575242
MT2_StellarMerger2,0.04396407588971982,0.46175960600965066,716249.8305142293,"[None, None]","[None, None]",0.00017253681230910666,"[None, None]",23485949.872913163,0.5863033979575242
SN1_SN2,0.07654941497639181,0.08846464347883805,1247120.6182142147,"[None, None]","[None, None]",0.00030041782470951426,"[None, None]",23485949.872913163,0.5863033979575242
MT2_SN2,0.051245961714227815,0.5382420672301838,834884.1787195876,"[None, None]","[None, None]",0.00020111453951781764,"[None, None]",23485949.872913163,0.5863033979575242
SN2_Disbound2,0.06747329227192736,0.5279791336682998,1099255.088978353,"[None, None]","[None, None]",0.00026479862317136077,"[None, None]",23485949.872913163,0.5863033979575242
SN2_Survive2,0.06032185676920021,0.472019084972328,982745.9991566903,"[None, None]","[None, None]",0.00023673284764659337,"[None, None]",23485949.872913163,0.5863033979575242
SN2_DCO,0.06006161902929608,0.46998272225997306,978506.2822212703,"[None, None]","[None, None]",0.00023571154584104163,"[None, None]",23485949.872913163,0.5863033979575242
DCO_Merges,0.005619090581481753,0.093555429778557,91544.57577422893,"[None, None]","[None, None]",2.205209497492669e-05,"[None, None]",23485949.872913163,0.5863033979575242
DCO_NoMerger,0.054442528447814484,0.9064445702214455,886961.7064470438,"[None, None]","[None, None]",0.00021365945086611554,"[None, None]",23485949.872913163,0.5863033979575242
