,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6081258330264679,0.6081258330264679,26279068.113001943,"[None, None]","[None, None]",0.0064282475287187795,"[None, None]",26279068.113001943,0.6081258330264679
ZAMS,1.0,1.0,16733485.822518919,"[None, None]","[None, None]",0.00409325735687856,"[None, None]",26279068.113001943,0.6081258330264679
ZAMS_StellarMergerBeforeMT,0.031148080425726372,0.031148080425726372,521215.9622025713,"[None, None]","[None, None]",0.00012749710935524954,"[None, None]",26279068.113001943,0.6081258330264679
ZAMS_MT1,0.4942082031224551,0.4942082031224551,8269825.960322153,"[None, None]","[None, None]",0.002022921363260723,"[None, None]",26279068.113001943,0.6081258330264679
MT1_StellarMerger1,0.3013729666677149,0.6098097214162198,5043020.265024674,"[None, None]","[None, None]",0.001233597112976941,"[None, None]",26279068.113001943,0.6081258330264679
ZAMS_SN1,0.4746437164518165,0.4746437164518165,7942443.899994161,"[None, None]","[None, None]",0.0019428388842625789,"[None, None]",26279068.113001943,0.6081258330264679
MT1_SN1,0.2161818933097478,0.4374308073882419,3617476.6467839624,"[None, None]","[None, None]",0.0008848881252140611,"[None, None]",26279068.113001943,0.6081258330264679
SN1_Disbound1,0.48449870047516463,0.7013328597392147,8107352.135430007,"[None, None]","[None, None]",0.001983177870118069,"[None, None]",26279068.113001943,0.6081258330264679
SN1_Survive1,0.18298025243139324,0.2648718429743045,3061897.4598616515,"[None, None]","[None, None]",0.0007489852644282963,"[None, None]",26279068.113001943,0.6081258330264679
SN1_MT2,0.09517737298504807,0.1377733709349573,1592649.221469897,"[None, None]","[None, None]",0.0003895854821794227,"[None, None]",26279068.113001943,0.6081258330264679
MT2_StellarMerger2,0.05568804779622994,0.5850975504963588,931855.1582819696,"[None, None]","[None, None]",0.00022794551133212306,"[None, None]",26279068.113001943,0.6081258330264679
SN1_SN2,0.07655268811300849,0.11081333267223595,1280993.32121474,"[None, None]","[None, None]",0.0003133498538074018,"[None, None]",26279068.113001943,0.6081258330264679
MT2_SN2,0.039489732452164784,0.4149067284969973,660800.8781233646,"[None, None]","[None, None]",0.0001616416378809895,"[None, None]",26279068.113001943,0.6081258330264679
SN2_Disbound2,0.05442050085827304,0.4689707487419107,910644.6795662906,"[None, None]","[None, None]",0.0002227571155031421,"[None, None]",26279068.113001943,0.6081258330264679
SN2_Survive2,0.06162172341351175,0.5310275596923015,1031146.235099181,"[None, None]","[None, None]",0.0002522335727058928,"[None, None]",26279068.113001943,0.6081258330264679
SN2_DCO,0.0613865685582723,0.5290011037282313,1027211.2746629352,"[None, None]","[None, None]",0.0002512710233646782,"[None, None]",26279068.113001943,0.6081258330264679
DCO_Merges,0.008637288742718855,0.14070323436501836,144531.9487212882,"[None, None]","[None, None]",3.5354645689618317e-05,"[None, None]",26279068.113001943,0.6081258330264679
DCO_NoMerger,0.052749279815553364,0.8592967656349803,882679.3259416455,"[None, None]","[None, None]",0.00021591637767505952,"[None, None]",26279068.113001943,0.6081258330264679
