,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6063582536185919,0.6063582536185919,26821241.82907323,"[None, None]","[None, None]",0.0065184364979136945,"[None, None]",26821241.82907323,0.6063582536185919
ZAMS,1.0,1.0,17268784.475719005,"[None, None]","[None, None]",0.0041968778223801465,"[None, None]",26821241.82907323,0.6063582536185919
ZAMS_StellarMergerBeforeMT,0.030145991566817566,0.030145991566817566,520584.63117421523,"[None, None]","[None, None]",0.00012651904344043556,"[None, None]",26821241.82907323,0.6063582536185919
ZAMS_MT1,0.5080987748130342,0.5080987748130342,8774248.234623171,"[None, None]","[None, None]",0.002132428479591347,"[None, None]",26821241.82907323,0.6063582536185919
MT1_StellarMerger1,0.2926816765109499,0.5760330294412703,5054256.7916597035,"[None, None]","[None, None]",0.0012283492371658459,"[None, None]",26821241.82907323,0.6063582536185919
ZAMS_SN1,0.46175523362015153,0.46175523362015153,7973951.609921675,"[None, None]","[None, None]",0.0019379302993483773,"[None, None]",26821241.82907323,0.6063582536185919
MT1_SN1,0.2380738762187348,0.4685582568199248,4111246.4577203356,"[None, None]","[None, None]",0.0009991669711904843,"[None, None]",26821241.82907323,0.6063582536185919
SN1_Disbound1,0.5401587434507065,0.7718437770830359,9327884.923325444,"[None, None]","[None, None]",0.0022669802509529967,"[None, None]",26821241.82907323,0.6063582536185919
SN1_Survive1,0.13701359143552017,0.19578149795321154,2366058.1807442172,"[None, None]","[None, None]",0.000575029303260389,"[None, None]",26821241.82907323,0.6063582536185919
SN1_MT2,0.06113496965251273,0.08735699729122008,1055726.6148588643,"[None, None]","[None, None]",0.00025657599830651394,"[None, None]",26821241.82907323,0.6063582536185919
MT2_StellarMerger2,0.026243168653470372,0.42926607803414096,453187.62343672477,"[None, None]","[None, None]",0.00011013937251073165,"[None, None]",26821241.82907323,0.6063582536185919
SN1_SN2,0.06644740443289976,0.09494804302752852,1147465.9061226815,"[None, None]","[None, None]",0.0002788716380191612,"[None, None]",26821241.82907323,0.6063582536185919
MT2_SN2,0.03489239353076106,0.5707436141554858,602549.2237246848,"[None, None]","[None, None]",0.00014643911257901157,"[None, None]",26821241.82907323,0.6063582536185919
SN2_Disbound2,0.05168521226879947,0.510018899853472,892540.7912516857,"[None, None]","[None, None]",0.00021691652111593474,"[None, None]",26821241.82907323,0.6063582536185919
SN2_Survive2,0.04965437543515892,0.48997902534761634,857470.7076661956,"[None, None]","[None, None]",0.00020839334704795601,"[None, None]",26821241.82907323,0.6063582536185919
SN2_DCO,0.04942966843145819,0.48776166347976146,853590.290849103,"[None, None]","[None, None]",0.0002074502792075909,"[None, None]",26821241.82907323,0.6063582536185919
DCO_Merges,0.007225780019052328,0.14618305662057957,124780.43781797141,"[None, None]","[None, None]",3.0325715911358304e-05,"[None, None]",26821241.82907323,0.6063582536185919
DCO_NoMerger,0.042203888412405986,0.8538169433794228,728809.8530311337,"[None, None]","[None, None]",0.0001771245632962331,"[None, None]",26821241.82907323,0.6063582536185919
