,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6092171638834345,0.6092171638834345,27292134.401796684,"[None, None]","[None, None]",0.006582408763809899,"[None, None]",27292134.401796684,0.6092171638834345
ZAMS,1.0,1.0,17373694.776854243,"[None, None]","[None, None]",0.004190246137414415,"[None, None]",27292134.401796684,0.6092171638834345
ZAMS_StellarMergerBeforeMT,0.029963424483878197,0.029963424483878197,520575.3914522212,"[None, None]","[None, None]",0.00012555412370727915,"[None, None]",27292134.401796684,0.6092171638834345
ZAMS_MT1,0.5109714424961129,0.5109714424961129,8877461.881616395,"[None, None]","[None, None]",0.002141096113248409,"[None, None]",27292134.401796684,0.6092171638834345
MT1_StellarMerger1,0.266989086361939,0.5225127358540592,4638586.895203507,"[None, None]","[None, None]",0.0011187499878599187,"[None, None]",27292134.401796684,0.6092171638834345
ZAMS_SN1,0.45906513302000995,0.45906513302000995,7975657.503785646,"[None, None]","[None, None]",0.0019235959004587314,"[None, None]",27292134.401796684,0.6092171638834345
MT1_SN1,0.2588917849616516,0.5066658592444158,4497906.852158719,"[None, None]","[None, None]",0.001084820301943884,"[None, None]",27292134.401796684,0.6092171638834345
SN1_Disbound1,0.5625037827977455,0.7834784632747457,9772769.033153944,"[None, None]","[None, None]",0.00235702930314925,"[None, None]",27292134.401796684,0.6092171638834345
SN1_Survive1,0.14054410066098083,0.19575561867428165,2441770.3075713594,"[None, None]","[None, None]",0.0005889143749310576,"[None, None]",27292134.401796684,0.6092171638834345
SN1_MT2,0.06510123176141559,0.09067568001772268,1131048.9302200836,"[None, None]","[None, None]",0.0002727901849291923,"[None, None]",27292134.401796684,0.6092171638834345
MT2_StellarMerger2,0.026702468928519123,0.41016841319345404,463920.5449525254,"[None, None]","[None, None]",0.0001118899172871557,"[None, None]",27292134.401796684,0.6092171638834345
SN1_SN2,0.06607740637123106,0.09203533626640084,1148008.6899399324,"[None, None]","[None, None]",0.00027688059681741365,"[None, None]",27292134.401796684,0.6092171638834345
MT2_SN2,0.03839907509664478,0.589836383393951,667133.8104426112,"[None, None]","[None, None]",0.00016090157610400185,"[None, None]",27292134.401796684,0.6092171638834345
SN2_Disbound2,0.04818984630744976,0.4612506626409219,837235.6810891486,"[None, None]","[None, None]",0.00020192731735238566,"[None, None]",27292134.401796684,0.6092171638834345
SN2_Survive2,0.056285811132010234,0.5387414501446128,977892.5028752106,"[None, None]","[None, None]",0.00023585140268714315,"[None, None]",27292134.401796684,0.6092171638834345
SN2_DCO,0.056218171289624926,0.5380940332194353,976717.3488988538,"[None, None]","[None, None]",0.00023556797509885282,"[None, None]",27292134.401796684,0.6092171638834345
DCO_Merges,0.00640931487159728,0.11400788614374797,111353.48030788389,"[None, None]","[None, None]",2.685660688418327e-05,"[None, None]",27292134.401796684,0.6092171638834345
DCO_NoMerger,0.04980885641802771,0.8859921138562532,865363.868590971,"[None, None]","[None, None]",0.00020871136821466982,"[None, None]",27292134.401796684,0.6092171638834345
