,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6063097718264275,0.6063097718264275,26820890.60513725,"[None, None]","[None, None]",0.006410324046734161,"[None, None]",26820890.60513725,0.6063097718264275
ZAMS,1.0,1.0,17272694.58942508,"[None, None]","[None, None]",0.004128258494789831,"[None, None]",26820890.60513725,0.6063097718264275
ZAMS_StellarMergerBeforeMT,0.03013896406401695,0.03013896406401695,520581.12151942245,"[None, None]","[None, None]",0.00012442143442144342,"[None, None]",26820890.60513725,0.6063097718264275
ZAMS_MT1,0.5082167875268111,0.5082167875268111,8778273.356169345,"[None, None]","[None, None]",0.002098050270302356,"[None, None]",26820890.60513725,0.6063097718264275
MT1_StellarMerger1,0.29264556256887936,0.5758282090464019,5054777.425202741,"[None, None]","[None, None]",0.0012081165296375252,"[None, None]",26820890.60513725,0.6063097718264275
ZAMS_SN1,0.46164424840917456,0.46164424840917456,7973840.111736357,"[None, None]","[None, None]",0.0019057867900660417,"[None, None]",26820890.60513725,0.6063097718264275
MT1_SN1,0.2382207311683983,0.4687384144228626,4114713.9343412793,"[None, None]","[None, None]",0.0009834367570809848,"[None, None]",26820890.60513725,0.6063097718264275
SN1_Disbound1,0.5401747082571884,0.7718270295267944,9330272.760658208,"[None, None]","[None, None]",0.002229980828033356,"[None, None]",26820890.60513725,0.6063097718264275
SN1_Survive1,0.13704078215407745,0.19581031506504742,2367063.5764433146,"[None, None]","[None, None]",0.0005657397730602128,"[None, None]",26820890.60513725,0.6063097718264275
SN1_MT2,0.06117244769564709,0.0874060704288559,1056613.0063344922,"[None, None]","[None, None]",0.00025253567684664174,"[None, None]",26820890.60513725,0.6063097718264275
MT2_StellarMerger2,0.02628447184742641,0.4296782757198182,454003.654664938,"[None, None]","[None, None]",0.00010850909418520224,"[None, None]",26820890.60513725,0.6063097718264275
SN1_SN2,0.06644083546676685,0.0949337906675506,1147612.2592837056,"[None, None]","[None, None]",0.0002742849434166137,"[None, None]",26820890.60513725,0.6063097718264275
MT2_SN2,0.034888594249840595,0.5703318334329656,602620.0331318686,"[None, None]","[None, None]",0.00014402913558318007,"[None, None]",26820890.60513725,0.6063097718264275
SN2_Disbound2,0.05167549842212302,0.509975222071674,892575.1020016485,"[None, None]","[None, None]",0.00021332981533362785,"[None, None]",26820890.60513725,0.6063097718264275
SN2_Survive2,0.04965368258505429,0.4900223234643964,857652.8945318975,"[None, None]","[None, None]",0.00020498323692934824,"[None, None]",26820890.60513725,0.6063097718264275
SN2_DCO,0.049426463668900925,0.4877799451465786,853728.2115882402,"[None, None]","[None, None]",0.00020404521850856118,"[None, None]",26820890.60513725,0.6063097718264275
DCO_Merges,0.007216830441141698,0.1460114664380191,124654.10811350642,"[None, None]","[None, None]",2.9792941574101055e-05,"[None, None]",26820890.60513725,0.6063097718264275
DCO_NoMerger,0.04220963322775922,0.8539885335619807,729074.1034747337,"[None, None]","[None, None]",0.00017425227693446008,"[None, None]",26820890.60513725,0.6063097718264275
