,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6095213769567943,0.6095213769567943,26788398.315457005,"[None, None]","[None, None]",0.006487436334771916,"[None, None]",26788398.315457005,0.6095213769567943
ZAMS,1.0,1.0,16957200.18508375,"[None, None]","[None, None]",0.004106582085321537,"[None, None]",26788398.315457005,0.6095213769567943
ZAMS_StellarMergerBeforeMT,0.03071518615000024,0.03071518615000024,520843.56026766595,"[None, None]","[None, None]",0.00012613443319090719,"[None, None]",26788398.315457005,0.6095213769567943
ZAMS_MT1,0.5000420240735115,0.5000420240735115,8479312.703169003,"[None, None]","[None, None]",0.0020534636179682032,"[None, None]",26788398.315457005,0.6095213769567943
MT1_StellarMerger1,0.29656434274098525,0.5930788383045724,5028900.927616676,"[None, None]","[None, None]",0.0012178658170452863,"[None, None]",26788398.315457005,0.6095213769567943
ZAMS_SN1,0.469242789776489,0.469242789776489,7957043.921647094,"[None, None]","[None, None]",0.0019269840341624297,"[None, None]",26788398.315457005,0.6095213769567943
MT1_SN1,0.22646786301221722,0.4528976608152518,3840260.888586291,"[None, None]","[None, None]",0.0009300088691470231,"[None, None]",26788398.315457005,0.6095213769567943
SN1_Disbound1,0.37662182168456737,0.5413483610965348,6386451.624376125,"[None, None]","[None, None]",0.0015466284258710066,"[None, None]",26788398.315457005,0.6095213769567943
SN1_Survive1,0.296098722525245,0.42560613573811734,5021005.312408146,"[None, None]","[None, None]",0.0012159537094087638,"[None, None]",26788398.315457005,0.6095213769567943
SN1_MT2,0.07104649009931854,0.10212074490240106,1204749.5550617152,"[None, None]","[None, None]",0.00029175824346683543,"[None, None]",26788398.315457005,0.6095213769567943
MT2_StellarMerger2,0.0331588151479434,0.46671996183892345,562280.6663638637,"[None, None]","[None, None]",0.00013616939625703278,"[None, None]",26788398.315457005,0.6095213769567943
SN1_SN2,0.1884131866197804,0.2708211896203389,3194960.1230211593,"[None, None]","[None, None]",0.0007737342168111337,"[None, None]",26788398.315457005,0.6095213769567943
MT2_SN2,0.03788821524390377,0.5332876429354697,642478.050546418,"[None, None]","[None, None]",0.00015559106596542158,"[None, None]",26788398.315457005,0.6095213769567943
SN2_Disbound2,0.10016552213456002,0.44261998074097725,1698526.8104791718,"[None, None]","[None, None]",0.0004113379387646621,"[None, None]",26788398.315457005,0.6095213769567943
SN2_Survive2,0.12613556606661858,0.5573786332203021,2138906.0442505083,"[None, None]","[None, None]",0.0005179860559310671,"[None, None]",26788398.315457005,0.6095213769567943
SN2_DCO,0.12591157677239412,0.5563888501593938,2135107.8129490283,"[None, None]","[None, None]",0.000517066225508101,"[None, None]",26788398.315457005,0.6095213769567943
DCO_Merges,0.0086996356042791,0.06909321467719463,147521.46247904273,"[None, None]","[None, None]",3.5725767721357956e-05,"[None, None]",26788398.315457005,0.6095213769567943
DCO_NoMerger,0.11721194116811516,0.9309067853228066,1987586.350469988,"[None, None]","[None, None]",0.00048134045778674365,"[None, None]",26788398.315457005,0.6095213769567943
