,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6063582536185919,0.6063582536185919,26821241.82907323,"[None, None]","[None, None]",0.006474178083903799,"[None, None]",26821241.82907323,0.6063582536185919
ZAMS,1.0,1.0,17268784.475719005,"[None, None]","[None, None]",0.004168382161454202,"[None, None]",26821241.82907323,0.6063582536185919
ZAMS_StellarMergerBeforeMT,0.030145991566817566,0.030145991566817566,520584.63117421523,"[None, None]","[None, None]",0.00012566001348647118,"[None, None]",26821241.82907323,0.6063582536185919
ZAMS_MT1,0.5080987748130342,0.5080987748130342,8774248.234623171,"[None, None]","[None, None]",0.0021179498691873875,"[None, None]",26821241.82907323,0.6063582536185919
MT1_StellarMerger1,0.2915514059720829,0.5738085199661531,5034738.393324754,"[None, None]","[None, None]",0.0012152976798009225,"[None, None]",26821241.82907323,0.6063582536185919
ZAMS_SN1,0.46175523362015153,0.46175523362015153,7973951.609921675,"[None, None]","[None, None]",0.0019247722787803575,"[None, None]",26821241.82907323,0.6063582536185919
MT1_SN1,0.23932923229364797,0.4710289497976339,4132924.9312182954,"[None, None]","[None, None]",0.0009976157026073712,"[None, None]",26821241.82907323,0.6063582536185919
SN1_Disbound1,0.5411627821919156,0.7718938423297682,9345223.451952657,"[None, None]","[None, None]",0.002255773287731707,"[None, None]",26821241.82907323,0.6063582536185919
SN1_Survive1,0.13713982323317686,0.19561098541019273,2368238.050451933,"[None, None]","[None, None]",0.000571651192790157,"[None, None]",26821241.82907323,0.6063582536185919
SN1_MT2,0.06121675168655627,0.08731722732833039,1057138.891178748,"[None, None]","[None, None]",0.00025517481571241265,"[None, None]",26821241.82907323,0.6063582536185919
MT2_StellarMerger2,0.022890181773270478,0.3739202284118803,395285.61565263936,"[None, None]","[None, None]",9.541502537614478e-05,"[None, None]",26821241.82907323,0.6063582536185919
SN1_SN2,0.06648497279148029,0.09483161590925178,1148114.6660101153,"[None, None]","[None, None]",0.0002771347745887745,"[None, None]",26821241.82907323,0.6063582536185919
MT2_SN2,0.038327162445004524,0.6260894508295431,661863.5078286546,"[None, None]","[None, None]",0.0001597622602349143,"[None, None]",26821241.82907323,0.6063582536185919
SN2_Disbound2,0.05197348507086819,0.49587278184536293,897518.9121408222,"[None, None]","[None, None]",0.0002166453480380133,"[None, None]",26821241.82907323,0.6063582536185919
SN2_Survive2,0.052838430297643985,0.5041251204207029,912455.4648453152,"[None, None]","[None, None]",0.00022025077029194046,"[None, None]",26821241.82907323,0.6063582536185919
SN2_DCO,0.052610602400403474,0.5019514418029887,908521.1539903125,"[None, None]","[None, None]",0.00021930109654920147,"[None, None]",26821241.82907323,0.6063582536185919
DCO_Merges,0.010155479806593322,0.1930310496979871,175372.7920275766,"[None, None]","[None, None]",4.2331920866811975e-05,"[None, None]",26821241.82907323,0.6063582536185919
DCO_NoMerger,0.042455122593810096,0.8069689503020119,733148.361962735,"[None, None]","[None, None]",0.00017696917568238928,"[None, None]",26821241.82907323,0.6063582536185919
