,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6073034758823561,0.6073034758823561,26931397.981232673,"[None, None]","[None, None]",0.0065224452677789925,"[None, None]",26931397.981232673,0.6073034758823561
ZAMS,1.0,1.0,17254121.1847617,"[None, None]","[None, None]",0.0041787307569275765,"[None, None]",26931397.981232673,0.6073034758823561
ZAMS_StellarMergerBeforeMT,0.030181166220233212,0.030181166220233212,520749.4994613401,"[None, None]","[None, None]",0.00012611896756443213,"[None, None]",26931397.981232673,0.6073034758823561
ZAMS_MT1,0.5080489291219227,0.5080489291219227,8765937.790858062,"[None, None]","[None, None]",0.0021229996861458966,"[None, None]",26931397.981232673,0.6073034758823561
MT1_StellarMerger1,0.2927281537438628,0.5761810269924085,5050767.038888163,"[None, None]","[None, None]",0.0012232321394681036,"[None, None]",26931397.981232673,0.6073034758823561
ZAMS_SN1,0.4617699046578433,0.4617699046578433,7967433.894442284,"[None, None]","[None, None]",0.001929612103217244,"[None, None]",26931397.981232673,0.6073034758823561
MT1_SN1,0.23801658087990504,0.4684914527647499,4106766.930484516,"[None, None]","[None, None]",0.0009946072071815994,"[None, None]",26931397.981232673,0.6073034758823561
SN1_Disbound1,0.5073388437406312,0.7249909139796684,8753685.89163773,"[None, None]","[None, None]",0.002120032430523049,"[None, None]",26931397.981232673,0.6073034758823561
SN1_Survive1,0.16975187272702288,0.2425766662192369,2928919.383372297,"[None, None]","[None, None]",0.0007093473716104659,"[None, None]",26931397.981232673,0.6073034758823561
SN1_MT2,0.06361222186550954,0.09090232975366348,1097572.9848994494,"[None, None]","[None, None]",0.00026581834802590553,"[None, None]",26931397.981232673,0.6073034758823561
MT2_StellarMerger2,0.026161526527408465,0.41126572473320905,451394.1490822636,"[None, None]","[None, None]",0.00010932197554825845,"[None, None]",26931397.981232673,0.6073034758823561
SN1_SN2,0.08715815462691412,0.12454963968036327,1503837.3621729747,"[None, None]","[None, None]",0.00036421046145653554,"[None, None]",26931397.981232673,0.6073034758823561
MT2_SN2,0.037451127188039036,0.5887410640555694,646186.2870083492,"[None, None]","[None, None]",0.0001564981770622653,"[None, None]",26931397.981232673,0.6073034758823561
SN2_Disbound2,0.06833937597751988,0.5484292580949544,1179135.8748071205,"[None, None]","[None, None]",0.0002855718523064999,"[None, None]",26931397.981232673,0.6073034758823561
SN2_Survive2,0.05626970719949275,0.45156914781881313,970884.3470511058,"[None, None]","[None, None]",0.00023513595615782943,"[None, None]",26931397.981232673,0.6073034758823561
SN2_DCO,0.0560437874080332,0.4497561224312257,966986.2995912266,"[None, None]","[None, None]",0.00023419189817665875,"[None, None]",26931397.981232673,0.6073034758823561
DCO_Merges,0.007542241847655993,0.13457766144075592,130134.75484423748,"[None, None]","[None, None]",3.1516997984986366e-05,"[None, None]",26931397.981232673,0.6073034758823561
DCO_NoMerger,0.04850154556037731,0.8654223385592459,836851.5447469909,"[None, None]","[None, None]",0.0002026749001916728,"[None, None]",26931397.981232673,0.6073034758823561
