,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6478403238392864,0.6478403238392864,32041663.99650425,"[None, None]","[None, None]",0.007786168316438203,"[None, None]",32041663.99650425,0.6478403238392864
ZAMS,1.0,1.0,17283813.274242476,"[None, None]","[None, None]",0.004199990341257649,"[None, None]",32041663.99650425,0.6478403238392864
ZAMS_StellarMergerBeforeMT,0.030109810660281067,0.030109810660281067,520412.3451750935,"[None, None]","[None, None]",0.00012646091395027706,"[None, None]",32041663.99650425,0.6478403238392864
ZAMS_MT1,0.508535621576077,0.508535621576077,8789434.726621749,"[None, None]","[None, None]",0.0021358446988049783,"[None, None]",32041663.99650425,0.6478403238392864
MT1_StellarMerger1,0.29288960878025344,0.575947084832556,5062249.30812383,"[None, None]","[None, None]",0.001230133527931796,"[None, None]",32041663.99650425,0.6478403238392864
ZAMS_SN1,0.4613545677636427,0.4613545677636427,7973966.202445648,"[None, None]","[None, None]",0.0019376847285023967,"[None, None]",32041663.99650425,0.6478403238392864
MT1_SN1,0.23838595866024945,0.4687694402241335,4120218.3966850373,"[None, None]","[None, None]",0.0010012187238644928,"[None, None]",32041663.99650425,0.6478403238392864
SN1_Disbound1,0.5401818657419577,0.7719745324779501,9336402.501615915,"[None, None]","[None, None]",0.0022687586186387583,"[None, None]",32041663.99650425,0.6478403238392864
SN1_Survive1,0.13681873815652493,0.19552781779805403,2364749.522714851,"[None, None]","[None, None]",0.000574637378760464,"[None, None]",32041663.99650425,0.6478403238392864
SN1_MT2,0.06105746599841632,0.08725729565851781,1055305.8413150366,"[None, None]","[None, None]",0.00025644076745501586,"[None, None]",32041663.99650425,0.6478403238392864
MT2_StellarMerger2,0.026237510582443602,0.4297183014952527,453484.2336879162,"[None, None]","[None, None]",0.00011019729102490848,"[None, None]",32041663.99650425,0.6478403238392864
SN1_SN2,0.06633757244297077,0.09480310191835968,1146566.21517084,"[None, None]","[None, None]",0.0002786171635229568,"[None, None]",32041663.99650425,0.6478403238392864
MT2_SN2,0.034820420208007956,0.5702893108749569,601829.6410058689,"[None, None]","[None, None]",0.00014624542855216606,"[None, None]",32041663.99650425,0.6478403238392864
SN2_Disbound2,0.05162912054045451,0.5103810305784562,892348.0789345725,"[None, None]","[None, None]",0.0002168418075975358,"[None, None]",32041663.99650425,0.6478403238392864
SN2_Survive2,0.04952869544858164,0.4896172230252569,856044.7238501082,"[None, None]","[None, None]",0.00020802004249913456,"[None, None]",32041663.99650425,0.6478403238392864
SN2_DCO,0.049300957259168464,0.4873659111571089,852108.5395088769,"[None, None]","[None, None]",0.0002070635443032637,"[None, None]",32041663.99650425,0.6478403238392864
DCO_Merges,0.00719231815786795,0.1458859737765112,124310.68404953326,"[None, None]","[None, None]",3.0207666794297393e-05,"[None, None]",32041663.99650425,0.6478403238392864
DCO_NoMerger,0.04210863910130053,0.854114026223489,727797.8554593438,"[None, None]","[None, None]",0.00017685587750896636,"[None, None]",32041663.99650425,0.6478403238392864
