,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6478403238392864,0.6478403238392864,32041663.99650425,"[None, None]","[None, None]",0.007705041413317666,"[None, None]",32041663.99650425,0.6478403238392864
ZAMS,1.0,1.0,17283813.274242476,"[None, None]","[None, None]",0.004156229123200874,"[None, None]",32041663.99650425,0.6478403238392864
ZAMS_StellarMergerBeforeMT,0.030109810660281067,0.030109810660281067,520412.3451750935,"[None, None]","[None, None]",0.0001251432719603243,"[None, None]",32041663.99650425,0.6478403238392864
ZAMS_MT1,0.508535621576077,0.508535621576077,8789434.726621749,"[None, None]","[None, None]",0.00211359056057955,"[None, None]",32041663.99650425,0.6478403238392864
MT1_StellarMerger1,0.2917498611866921,0.5737058503050141,5042550.123536949,"[None, None]","[None, None]",0.0012125792697539421,"[None, None]",32041663.99650425,0.6478403238392864
ZAMS_SN1,0.4613545677636427,0.4613545677636427,7973966.202445648,"[None, None]","[None, None]",0.0019174952906610028,"[None, None]",32041663.99650425,0.6478403238392864
MT1_SN1,0.2396531066785392,0.47126119884344625,4142119.5464239838,"[None, None]","[None, None]",0.0009960532214429104,"[None, None]",32041663.99650425,0.6478403238392864
SN1_Disbound1,0.5411944647457329,0.7720235947151106,9353904.07371885,"[None, None]","[None, None]",0.0022493281956913235,"[None, None]",32041663.99650425,0.6478403238392864
SN1_Survive1,0.13694588674631147,0.1953557596288579,2366947.135198805,"[None, None]","[None, None]",0.0005691784827975883,"[None, None]",32041663.99650425,0.6478403238392864
SN1_MT2,0.06113950021920206,0.08721659184095679,1056723.7054691953,"[None, None]","[None, None]",0.0002541097713889938,"[None, None]",32041663.99650425,0.6478403238392864
MT2_StellarMerger2,0.022878211159634135,0.37419689525772054,395422.7297318068,"[None, None]","[None, None]",9.508708750841063e-05,"[None, None]",32041663.99650425,0.6478403238392864
SN1_SN2,0.06637611542594876,0.094686717201444,1147232.384891664,"[None, None]","[None, None]",0.000275874344018271,"[None, None]",32041663.99650425,0.6478403238392864
MT2_SN2,0.03826175385160312,0.6258107068985537,661309.0091161361,"[None, None]","[None, None]",0.0001590246156627761,"[None, None]",32041663.99650425,0.6478403238392864
SN2_Disbound2,0.05191700970758287,0.49615889606728353,897323.9015428963,"[None, None]","[None, None]",0.0002157789877361584,"[None, None]",32041663.99650425,0.6478403238392864
SN2_Survive2,0.05272068290802629,0.5038394156152464,911214.4390728732,"[None, None]","[None, None]",0.00021911923769737742,"[None, None]",32041663.99650425,0.6478403238392864
SN2_DCO,0.05248984398166726,0.5016333411992362,907224.6621732572,"[None, None]","[None, None]",0.0002181598182288756,"[None, None]",32041663.99650425,0.6478403238392864
DCO_Merges,0.010124195594671884,0.19287913292727418,174984.7062102171,"[None, None]","[None, None]",4.207847657955727e-05,"[None, None]",32041663.99650425,0.6478403238392864
DCO_NoMerger,0.042365648386995323,0.8071208670727247,732239.9559630391,"[None, None]","[None, None]",0.00017608134164931807,"[None, None]",32041663.99650425,0.6478403238392864
