,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6059284080377266,0.6059284080377266,26836873.681017943,"[None, None]","[None, None]",0.006455637422767015,"[None, None]",26836873.681017943,0.6059284080377266
ZAMS,1.0,1.0,17309036.390180834,"[None, None]","[None, None]",0.004163706413818358,"[None, None]",26836873.681017943,0.6059284080377266
ZAMS_StellarMergerBeforeMT,0.030107870048919537,0.030107870048919537,521138.2183075839,"[None, None]","[None, None]",0.0001253603316290959,"[None, None]",26836873.681017943,0.6059284080377266
ZAMS_MT1,0.5091162879037556,0.5091162879037556,8812312.354159888,"[None, None]","[None, None]",0.002119810753324261,"[None, None]",26836873.681017943,0.6059284080377266
MT1_StellarMerger1,0.29179035819608534,0.5731310608770898,5050609.928319941,"[None, None]","[None, None]",0.0012149293859113964,"[None, None]",26836873.681017943,0.6059284080377266
ZAMS_SN1,0.460775842047327,0.460775842047327,7975585.817713399,"[None, None]","[None, None]",0.00191853532886501,"[None, None]",26836873.681017943,0.6059284080377266
MT1_SN1,0.2400436399291315,0.47149078831771696,4154924.098764802,"[None, None]","[None, None]",0.0009994712431692292,"[None, None]",26836873.681017943,0.6059284080377266
SN1_Disbound1,0.524868458103915,0.74893531301909,9084967.24137877,"[None, None]","[None, None]",0.002185398165418223,"[None, None]",26836873.681017943,0.6059284080377266
SN1_Survive1,0.15323332113276017,0.21864877486083875,2652321.1316752117,"[None, None]","[None, None]",0.0006380185620111616,"[None, None]",26836873.681017943,0.6059284080377266
SN1_MT2,0.06833836295639777,0.09751207652456985,1182871.2112576747,"[None, None]","[None, None]",0.00028454088015140023,"[None, None]",26836873.681017943,0.6059284080377266
MT2_StellarMerger2,0.023819138670476997,0.34854710648650494,412286.33803004987,"[None, None]","[None, None]",9.917590045389394e-05,"[None, None]",26836873.681017943,0.6059284080377266
SN1_SN2,0.07399536784230745,0.1055840622946511,1280788.5146873163,"[None, None]","[None, None]",0.00030809498767786416,"[None, None]",26836873.681017943,0.6059284080377266
MT2_SN2,0.04451946678939145,0.6514564420835836,770589.0707290237,"[None, None]","[None, None]",0.00018536598941076252,"[None, None]",26836873.681017943,0.6059284080377266
SN2_Disbound2,0.05825915290105239,0.491576882186105,1008409.797625425,"[None, None]","[None, None]",0.0002425740085977362,"[None, None]",26836873.681017943,0.6059284080377266
SN2_Survive2,0.060255626914225674,0.5084226552859672,1042966.8389714918,"[None, None]","[None, None]",0.00025088674025140745,"[None, None]",26836873.681017943,0.6059284080377266
SN2_DCO,0.059872494160285124,0.5051898721906595,1036335.1801912647,"[None, None]","[None, None]",0.00024929148794648135,"[None, None]",26836873.681017943,0.6059284080377266
DCO_Merges,0.007613884971543495,0.12716832793302887,131789.01204309732,"[None, None]","[None, None]",3.170198169009085e-05,"[None, None]",26836873.681017943,0.6059284080377266
DCO_NoMerger,0.052258609188741596,0.8728316720669704,904546.1681481667,"[None, None]","[None, None]",0.00021758950625639032,"[None, None]",26836873.681017943,0.6059284080377266
