,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6165070438625347,0.6165070438625347,27056065.53521448,"[None, None]","[None, None]",0.006595203937726491,"[None, None]",27056065.53521448,0.6165070438625347
ZAMS,1.0,1.0,16694871.851555422,"[None, None]","[None, None]",0.004069552700924319,"[None, None]",27056065.53521448,0.6165070438625347
ZAMS_StellarMergerBeforeMT,0.031174645017911253,0.031174645017911253,520456.703591759,"[None, None]","[None, None]",0.0001268668608329976,"[None, None]",27056065.53521448,0.6165070438625347
ZAMS_MT1,0.4913952944091329,0.4913952944091329,8203781.468617822,"[None, None]","[None, None]",0.0019997590475841877,"[None, None]",27056065.53521448,0.6165070438625347
MT1_StellarMerger1,0.30389118345722377,0.6184250987234846,5073424.36463587,"[None, None]","[None, None]",0.0012367011864254328,"[None, None]",27056065.53521448,0.6165070438625347
ZAMS_SN1,0.47743006057295684,0.47743006057295684,7970633.679345857,"[None, None]","[None, None]",0.001942926792507138,"[None, None]",27056065.53521448,0.6165070438625347
MT1_SN1,0.21089011705396798,0.42916592701105943,3520783.478975518,"[None, None]","[None, None]",0.0008582284454552213,"[None, None]",27056065.53521448,0.6165070438625347
SN1_Disbound1,0.5572656464503778,0.8096023690190596,9303478.554763248,"[None, None]","[None, None]",0.002267821916644472,"[None, None]",27056065.53521448,0.6165070438625347
SN1_Survive1,0.10766881963866586,0.15642258230736236,1797517.1462757601,"[None, None]","[None, None]",0.00043816393576586604,"[None, None]",27056065.53521448,0.6165070438625347
SN1_MT2,0.04866946131237126,0.07070759058693546,812530.4196942726,"[None, None]","[None, None]",0.00019806293773629214,"[None, None]",27056065.53521448,0.6165070438625347
MT2_StellarMerger2,0.02692019583042133,0.5531229461867601,449429.2196076607,"[None, None]","[None, None]",0.00010955315565110272,"[None, None]",27056065.53521448,0.6165070438625347
SN1_SN2,0.051794525743525825,0.07524772253821523,864702.969900252,"[None, None]","[None, None]",0.0002107805521326597,"[None, None]",27056065.53521448,0.6165070438625347
MT2_SN2,0.021749609552086022,0.446884123341581,363106.9442934419,"[None, None]","[None, None]",8.851118229674105e-05,"[None, None]",27056065.53521448,0.6165070438625347
SN2_Disbound2,0.04008135370924481,0.5449972801792706,669153.0638127077,"[None, None]","[None, None]",0.0001631131812441602,"[None, None]",27056065.53521448,0.6165070438625347
SN2_Survive2,0.033462437609475724,0.4549980426715587,558651.1077308658,"[None, None]","[None, None]",0.00013617715335315347,"[None, None]",27056065.53521448,0.6165070438625347
SN2_DCO,0.03340094477272203,0.45416190751942825,557624.4927014742,"[None, None]","[None, None]",0.00013592690501325496,"[None, None]",27056065.53521448,0.6165070438625347
DCO_Merges,0.00591541034959421,0.17710308465361801,98757.01773584,"[None, None]","[None, None]",2.407307416526679e-05,"[None, None]",27056065.53521448,0.6165070438625347
DCO_NoMerger,0.02748553442312777,0.8228969153463805,458867.4749656334,"[None, None]","[None, None]",0.00011185383084798797,"[None, None]",27056065.53521448,0.6165070438625347
